Cell	nCount_RNA	nFeature_RNA	Cluster
SRR2973490	2259821	6333	3
SRR2973491	2888616	6955	4
SRR2973492	2314152	6398	4
SRR2973493	2173659	6885	6
SRR2973494	2122258	6147	0
SRR2973495	2563393	6638	0
SRR2973496	4244	960	4
SRR2973497	1951872	5857	6
SRR2973498	1965864	6682	4
SRR2973499	3006439	6442	4
SRR2973500	2401859	5111	0
SRR2973501	2082859	6905	4
SRR2973502	1478513	7324	4
SRR2973503	1662586	6766	4
SRR2973504	1664040	6048	4
SRR2973505	1558862	7159	4
SRR2973506	1690287	6920	4
SRR2973507	2394743	7813	4
SRR2973508	2338609	6387	4
SRR2973509	2269347	5500	0
SRR2973510	1978178	3592	0
SRR2973511	2746996	6596	4
SRR2973512	2665034	6624	4
SRR2973513	1569963	3169	0
SRR2973514	2322585	5712	5
SRR2973515	2202655	8364	4
SRR2973516	2477738	3760	0
SRR2973517	1999726	6456	4
SRR2973518	3252500	5946	0
SRR2973519	2249851	3521	0
SRR2973520	2619969	4824	0
SRR2973521	2592447	4665	0
SRR2973522	2204964	6645	6
SRR2973523	2241185	6139	4
SRR2973524	1525617	6237	4
SRR2973525	1200847	6733	4
SRR2973526	2168849	4770	0
SRR2973527	3174482	6646	4
SRR2973528	2774021	3461	4
SRR2973529	2782884	6295	6
SRR2973530	3165035	6868	4
SRR2973531	2711203	3996	0
SRR2973532	1691978	6913	4
SRR2973533	3063999	6187	5
SRR2973534	2260619	7444	4
SRR2973535	1898060	4398	0
SRR5023374	5123324	19177	1
SRR5023375	4941920	19888	2
SRR5023376	7095457	18927	3
SRR5023377	7433374	22321	3
SRR5023378	10852189	20423	0
SRR5023379	11476056	19611	3
SRR5023380	4410354	21468	3
SRR5023384	2701726	2286	1
SRR5023386	1853976	6056	1
SRR5023387	2215453	4401	1
SRR5023388	1865999	4322	1
SRR5023389	1413489	5270	1
SRR5023390	1822933	4907	1
SRR5023391	2276789	4329	1
SRR5023392	1842078	4894	1
SRR5023393	1820100	4639	1
SRR5023394	4310118	4477	1
SRR5023395	1795917	5300	1
SRR5023397	1754373	2942	1
SRR5023398	1481451	3508	1
SRR5023399	1767969	3968	1
SRR5023400	2341290	6055	1
SRR5023402	1934313	5640	1
SRR5023403	2557545	4279	1
SRR5023408	1993446	4783	1
SRR5023409	2240053	5222	1
SRR5023410	2119039	4447	1
SRR5023411	1998094	6587	1
SRR5023412	2143758	5631	1
SRR5023413	3358258	4026	1
SRR5023414	1510761	3274	1
SRR5023415	2364200	5816	1
SRR5023416	2489206	2889	1
SRR5023418	1917088	3980	1
SRR5023419	3147453	4262	1
SRR5023420	1582822	4157	1
SRR5023421	2359226	5738	1
SRR5023422	2486931	6839	1
SRR5023423	2765697	3375	1
SRR5023424	2008976	5020	1
SRR5023425	1920560	5378	1
SRR5023426	1861470	5027	1
SRR5023427	1894326	4860	1
SRR5023428	2298249	3743	1
SRR5023429	2821514	3507	1
SRR5023431	2067408	5489	1
SRR5023432	1568859	5127	1
SRR5023433	1429185	4528	1
SRR5023434	1972865	4359	1
SRR5023435	2781026	4774	1
SRR5023436	1759620	4568	1
SRR5023437	1582403	5311	1
SRR5023438	3492271	5514	1
SRR5023440	1622192	3411	1
SRR5023441	2018585	4514	1
SRR5023442	1883188	3130	5
SRR5023443	2574030	2943	0
SRR5023444	1849728	2737	0
SRR5023445	2617174	3203	5
SRR5023446	2665590	2897	0
SRR5023447	3577308	2507	0
SRR5023448	2375658	4680	7
SRR5023450	4207906	3921	7
SRR5023455	3177405	4970	0
SRR5023456	3015994	9300	2
SRR5023457	2221129	7096	2
SRR5023458	1608916	7825	2
SRR5023459	2793975	5102	2
SRR5023460	2170013	6863	2
SRR5023461	2183268	7272	2
SRR5023462	1445911	6442	2
SRR5023463	2554332	8094	2
SRR5023464	2251344	6936	2
SRR5023467	2020378	8391	2
SRR5023468	1964802	6559	2
SRR5023469	1620647	7313	2
SRR5023470	2333851	6131	2
SRR5023471	2208298	6515	2
SRR5023472	1731948	5465	2
