Cell	nCount_RNA	nFeature_RNA	Cluster
SRR5967976	139447	2933	7
SRR5968016	57547	1723	7
SRR5959998	478583	5514	10
SRR5960647	15747	2083	3
SRR5959884	346755	5720	10
SRR5960315	178960	6214	3
SRR5959963	67508	4136	4
SRR5960637	211720	5663	3
SRR5957359	128896	3133	9
SRR5959932	83319	3973	4
SRR5961400	493985	3597	1
SRR5967904	360549	2844	1
SRR5959232	99652	1519	0
SRR5961140	269833	5026	8
SRR5961455	648900	4569	1
SRR5959968	544189	4500	4
SRR5957365	182221	5149	9
SRR5959221	9189	732	0
SRR5958992	98428	4181	5
SRR5958971	127564	4663	5
SRR5958904	28458	2949	5
SRR5964877	11178	937	0
SRR5960707	306954	5160	3
SRR5968120	966068	5377	7
SRR5961055	236921	4552	11
SRR5960348	241186	5349	3
SRR5960358	784659	6555	3
SRR5959112	1341	287	0
SRR5959201	8554	609	0
SRR5959906	322497	4111	10
SRR5961478	449544	2991	1
SRR5959849	1523320	7643	10
SRR5967629	367590	3628	1
SRR5958941	17710	2712	5
SRR5958787	111650	4120	5
SRR5960043	163633	3695	4
SRR5958986	64106	3479	5
SRR5957585	31411	3681	9
SRR5960368	1400	518	3
SRR5959055	912	225	0
SRR5960161	113268	2944	4
SRR5960631	299874	4128	3
SRR5960723	248083	5185	3
SRR5959820	134751	3594	4
SRR5960948	330709	5189	8
SRR5960347	1094365	5709	3
SRR5958671	2947	1150	5
SRR5959049	32381	984	0
SRR5960839	171543	4855	11
SRR5959257	53693	1127	0
SRR5958935	693835	4540	5
SRR5959140	3424	541	0
SRR5959369	24751	774	0
SRR5959329	64464	1476	0
SRR5967651	704703	4408	1
SRR5960754	144230	3166	3
SRR5967588	634973	2435	1
SRR5961442	877693	4657	1
SRR5967720	563396	2492	1
SRR5964685	4851	622	0
SRR5960415	241057	4615	3
SRR5961072	1232044	5963	11
SRR5968186	286020	3877	7
SRR5960125	141321	4556	10
SRR5959982	147891	4458	4
SRR5958871	72980	3126	5
SRR5959945	1977961	8293	10
SRR5958720	36342	2611	5
SRR5960052	50616	3290	4
SRR5960389	61091	2753	3
SRR5959929	617854	4467	4
SRR5960778	581074	6567	3
SRR5958980	291188	4940	5
SRR5967639	518186	2127	1
SRR5959979	153957	3272	4
SRR5964797	11121	1261	0
SRR5959872	832670	6006	10
SRR5961007	682861	5812	8
SRR5961317	936745	4731	1
SRR5960603	1141363	5996	3
SRR5960189	214495	4200	4
SRR5958807	73073	3489	5
SRR5957368	106036	5582	9
SRR5959212	7820	542	0
SRR5959822	166696	3977	4
SRR5960521	2905475	7815	3
SRR5961123	371662	5434	8
SRR5957403	141325	3346	9
SRR5964995	4945	772	0
SRR5958717	1673	715	5
SRR5965124	8144	1026	0
SRR5960157	110317	3105	4
SRR5960435	220261	5127	3
SRR5960552	54849	3110	3
SRR5965043	4907	788	0
SRR5959125	2624	458	0
SRR5960934	782155	5647	8
SRR5960169	71927	4119	4
SRR5960878	210874	4588	8
SRR5957463	51854	2734	9
SRR5967479	683214	2953	1
SRR5959936	290199	4861	4
SRR5968075	13254	1091	7
SRR5960544	85566	3383	3
SRR5960539	18708	2522	3
SRR5967589	567126	2349	1
SRR5960855	113646	4284	8
SRR5960446	119263	3243	3
SRR5964719	1481	379	0
SRR5960925	425654	6582	8
SRR5964702	16644	1314	0
SRR5960130	932895	6274	10
SRR5960509	427184	6257	3
SRR5959721	214689	4713	4
SRR5958929	1963520	5169	5
SRR5960328	404291	5009	3
SRR5961009	281175	4500	8
SRR5960041	139036	4859	4
SRR5957548	105501	3084	9
SRR5959815	416447	5092	4
SRR5957495	39651	4235	9
SRR5961177	262483	3706	11
SRR5959828	287924	4924	4
SRR5958943	143386	3981	5
SRR5958898	319642	3897	5
SRR5967598	426123	3470	1
SRR5957538	38277	3897	9
SRR5960612	945690	5852	3
SRR5959017	64745	1984	5
SRR5959264	12910	692	0
SRR5957363	187584	3588	9
SRR5960661	2033956	5981	3
SRR5958830	47333	2091	5
SRR5957334	229481	4019	9
SRR5960487	193321	5374	3
SRR5959214	12647	679	0
SRR5960363	63134	3135	3
SRR5960607	169676	3004	3
SRR5964901	4634	781	0
SRR5959917	681002	6840	10
SRR5959131	89330	1620	0
SRR5960083	292073	5436	4
SRR5960867	93916	4554	8
SRR5967654	778032	4290	1
SRR5959346	9292	674	0
SRR5959048	11958	602	0
SRR5967972	346356	2351	7
SRR5959378	1488	255	0
SRR5958977	128798	3983	5
SRR5960616	406156	3528	3
SRR5964653	7807	891	0
SRR5959389	4070	502	0
SRR5967500	719072	4402	1
SRR5959302	30630	873	0
SRR5960406	167695	2311	7
SRR5960488	111953	4236	3
SRR5959760	635604	6007	8
SRR5958909	20434	2533	5
SRR5958938	17405	2403	5
SRR5960309	503607	5823	3
SRR5960700	716640	3746	3
SRR5958892	102223	3811	11
SRR5958999	2155	771	5
SRR5964813	10771	1441	0
SRR5957561	546648	5243	9
SRR5959866	2964826	9239	10
SRR5958765	26135	2580	5
SRR5967612	602216	2504	1
SRR5957385	90325	5413	9
SRR5959735	571579	5745	10
SRR5957407	58183	4482	9
SRR5957358	415840	4966	9
SRR5958756	35870	3168	5
SRR5959059	8256	511	0
SRR5959352	4580	541	0
SRR5967543	492282	3445	1
SRR5960034	247886	3730	4
SRR5964845	23148	1627	0
SRR5958969	1900598	5344	5
SRR5958776	12767	2371	5
SRR5959392	17836	705	0
SRR5967847	1012300	3197	1
SRR5960160	124350	3094	4
SRR5960208	897005	8049	10
SRR5960819	151601	4391	11
SRR5959269	5742	496	0
SRR5958673	3159	1216	5
SRR5964920	7467	975	0
SRR5959031	155469	3487	5
SRR5960556	457015	6253	3
SRR5958706	10971	2168	5
SRR5961169	488653	5708	8
SRR5957409	30313	3747	9
SRR5959088	38179	864	0
SRR5958660	93327	3866	5
SRR5958725	148095	4072	5
SRR5960621	781616	6471	3
SRR5960305	125626	2272	7
SRR5967704	348612	3089	1
SRR5964734	5341	840	0
SRR5959249	51561	1242	0
SRR5960720	391575	5191	3
SRR5959074	2880	364	0
SRR5965134	7092	947	0
SRR5964954	3586	646	0
SRR5958920	1284656	3663	5
SRR5959056	56959	1183	0
SRR5960512	171354	4814	3
SRR5961188	339438	5332	8
SRR5964918	4049	574	0
SRR5964907	24809	1303	0
SRR5960333	207686	4705	3
SRR5960055	115746	3981	4
SRR5960214	136261	4398	4
SRR5958829	1747288	4782	5
SRR5967572	649486	4367	1
SRR5967819	581426	2501	1
SRR5959763	308285	4821	10
SRR5958766	24030	3393	5
SRR5961431	534258	3837	1
SRR5960654	290247	5886	3
SRR5960126	354587	5448	10
SRR5960117	441275	5553	10
SRR5959753	135172	3211	4
SRR5959344	1885	282	0
SRR5967735	532882	2257	1
SRR5959403	1543	335	0
SRR5960178	440865	4597	10
SRR5961157	205218	4732	8
SRR5957429	17591	2942	9
SRR5957351	124828	5037	9
SRR5968106	51504	1588	7
SRR5967590	951337	3292	1
SRR5960420	102178	3339	3
SRR5961083	251234	4997	8
SRR5965127	11614	1111	0
SRR5959026	103558	4346	5
SRR5957558	88982	4831	9
SRR5959291	13620	750	0
SRR5967767	872027	3190	1
SRR5961211	750400	6458	8
SRR5959066	5559	694	0
SRR5959034	1797	308	0
SRR5959014	1269944	3563	5
SRR5959333	3243	489	0
SRR5964895	2474	517	0
SRR5960508	109037	4060	3
SRR5959133	1826	258	0
SRR5960457	672765	5784	3
SRR5959012	2503359	4472	5
SRR5957566	130459	5431	9
SRR5957543	200648	5659	9
SRR5959229	29447	894	0
SRR5959383	6126	539	0
SRR5960493	338464	5228	3
SRR5967836	768934	2981	1
SRR5967652	239379	2694	1
SRR5967541	665273	4214	1
SRR5964857	9326	1062	0
SRR5957593	102520	5426	9
SRR5961069	420366	5106	8
SRR5959007	12663	2080	5
SRR5964943	10860	1059	0
SRR5961194	344468	7244	11
SRR5959202	85997	1490	0
SRR5959385	3445	457	0
SRR5959011	2850665	4926	5
SRR5958821	123430	4233	5
SRR5964969	1566	404	0
SRR5960010	475969	7058	10
SRR5959758	1205477	6622	10
SRR5967506	539439	3443	1
SRR5960175	204071	4880	10
SRR5961139	699644	8489	11
SRR5960611	54454	3750	3
SRR5959925	325080	6338	10
SRR5967860	648876	3918	1
SRR5964966	3701	643	0
SRR5967544	559155	2342	1
SRR5958955	519133	5724	5
SRR5959376	4958	575	0
SRR5960511	768629	6104	3
SRR5959000	1436	508	5
SRR5959036	62228	995	0
SRR5960491	343839	5669	3
SRR5960639	225288	5171	3
SRR5960412	34317	2473	3
SRR5958982	187994	4588	5
SRR5960199	579510	6081	10
SRR5964818	6700	809	0
SRR5959171	33343	892	0
SRR5967673	533087	4157	1
SRR5958960	193952	3885	5
SRR5959809	920668	5359	4
SRR5960437	69456	2608	3
SRR5959163	40110	1183	0
SRR5958949	900974	4925	5
SRR5960288	20496	2065	3
SRR5960547	462615	5577	3
SRR5964985	10286	1033	0
SRR5960779	193072	5281	3
SRR5958887	11264	2317	5
SRR5960121	1809741	8647	10
SRR5960102	608765	5649	10
SRR5960503	113737	4519	3
SRR5961425	549408	3419	1
SRR5958737	48512	3447	5
SRR5959123	4809	464	0
SRR5960917	396470	5232	8
SRR5967566	639030	4503	1
SRR5961377	525714	3317	1
SRR5959892	252200	4216	4
SRR5960628	598468	2551	1
SRR5959128	5511	539	0
SRR5959367	32752	1062	0
SRR5965008	16157	1441	0
SRR5959182	121207	1929	0
SRR5959105	50812	1244	0
SRR5964942	11321	1210	0
SRR5960572	89849	3937	3
SRR5967635	865538	2998	1
SRR5960042	107407	3608	4
SRR5960377	614501	6585	3
SRR5960715	175094	5105	3
SRR5959107	19264	728	0
SRR5959410	10580	578	0
SRR5960805	406961	5639	8
SRR5959234	19274	823	0
SRR5964779	17148	1568	0
SRR5967604	495840	3843	1
SRR5959101	44945	1167	0
SRR5959286	27957	975	0
SRR5959173	10414	669	0
SRR5957553	213853	3828	9
SRR5959726	342737	5202	4
SRR5967515	488564	3477	1
SRR5960624	911121	5772	3
SRR5964709	9818	1063	0
SRR5961029	579553	6144	8
SRR5959343	56773	1063	0
SRR5960390	1054924	7129	3
SRR5961107	140454	4906	11
SRR5960298	242078	2525	7
SRR5957404	377489	5142	9
SRR5967936	581123	3728	1
SRR5964816	10419	1090	0
SRR5965025	2452	534	0
SRR5967996	57081	1315	7
SRR5958805	23564	3414	5
SRR5957497	49139	4323	9
SRR5957378	149554	2904	9
SRR5967890	505120	2221	1
SRR5960497	1047293	5848	3
SRR5960123	405215	3746	10
SRR5958670	13207	2138	5
SRR5960517	843267	4844	3
SRR5960183	758688	5781	10
SRR5960422	146557	4470	3
SRR5960436	141113	4378	3
SRR5958888	5122	1426	5
SRR5958831	300253	4458	5
SRR5964810	15529	1461	0
SRR5958954	2174594	4924	5
SRR5959089	36009	884	0
SRR5960808	798345	6427	8
SRR5960090	214196	4510	4
SRR5967620	408381	3292	1
SRR5959356	8735	676	0
SRR5960463	3370201	5806	3
SRR5957470	38713	3967	9
SRR5960302	7193	875	7
SRR5960675	37199	2868	3
SRR5960316	297286	5276	3
SRR5960035	179615	3960	4
SRR5967596	619750	4433	1
SRR5959339	14148	717	0
SRR5958948	727300	4575	5
SRR5967511	460397	3331	1
SRR5959887	514134	5445	4
SRR5958919	27465	3030	5
SRR5967841	606012	2644	1
SRR5960109	110762	3789	4
SRR5964850	12938	1170	0
SRR5960334	211666	5046	3
SRR5964905	14209	1517	0
SRR5961402	833399	4598	1
SRR5957489	174096	3148	9
SRR5967609	498486	3291	1
SRR5960456	137985	2495	7
SRR5967929	433660	3495	1
SRR5960546	23680	2183	3
SRR5961479	573418	3492	1
SRR5967646	812058	5075	1
SRR5961224	514076	6237	8
SRR5960154	2292513	9150	10
SRR5967946	1372841	3738	1
SRR5959319	43839	1021	0
SRR5960325	116176	4351	3
SRR5959423	5348	463	0
SRR5960003	917962	5090	10
SRR5960033	233150	3539	4
SRR5959279	3107	441	0
SRR5958845	30735	4014	5
SRR5958774	874018	4803	5
SRR5958791	93820	3700	5
SRR5960443	298416	4818	3
SRR5964756	20056	1673	0
SRR5960400	188579	5044	3
SRR5960320	1103428	5779	3
SRR5960426	202247	5441	3
SRR5960498	563994	6527	3
SRR5958957	1006082	6174	5
SRR5967553	1171299	3290	1
SRR5968182	44364	996	7
SRR5960524	2388	878	3
SRR5959126	7198	587	0
SRR5957518	172507	3414	9
SRR5960004	35034	2271	10
SRR5960116	144153	4123	4
SRR5968081	271738	2429	7
SRR5958994	3886	1508	5
SRR5968195	44107	1165	7
SRR5958759	3081	1215	5
SRR5967643	437648	3456	1
SRR5967889	796494	2981	1
SRR5967524	612633	2609	1
SRR5960665	15077	1881	3
SRR5959373	38669	1017	0
SRR5965108	9807	1094	0
SRR5960365	404973	5125	3
SRR5958767	1400700	3949	9
SRR5959928	426596	4712	4
SRR5958965	1960409	5251	5
SRR5959298	54637	1297	0
SRR5968101	15997	974	7
SRR5958819	9785	2508	5
SRR5967493	603411	2478	1
SRR5964675	6538	883	0
SRR5958754	56105	3179	5
SRR5958921	4075	1313	5
SRR5960182	814792	7369	10
SRR5958865	532344	4261	5
SRR5961466	597776	4123	1
SRR5957406	43919	4165	9
SRR5958809	121144	3574	5
SRR5961245	150225	6082	11
SRR5960119	503591	5442	10
SRR5967642	644472	4811	1
SRR5960634	223325	5181	3
SRR5961372	505773	3501	1
SRR5959301	9178	626	0
SRR5959776	45702	4984	4
SRR5961050	147251	4902	11
SRR5957488	143094	3060	9
SRR5957552	103301	2669	9
SRR5968068	439357	3217	7
SRR5957354	158841	3768	9
SRR5959790	157689	3798	4
SRR5958710	12079	2371	5
SRR5957344	24234	3740	9
SRR5960615	42489	2814	3
SRR5964904	11500	1135	0
SRR5964699	34765	1853	0
SRR5957461	71156	3425	9
SRR5968039	309928	2540	7
SRR5959184	76249	1459	0
SRR5967854	541123	3467	1
SRR5959317	27321	945	0
SRR5967816	589781	2541	1
SRR5958715	10689	2353	5
SRR5958910	33673	3210	5
SRR5961070	1257169	6376	8
SRR5957492	86232	5573	9
SRR5960453	462422	3767	7
SRR5959992	244968	2970	4
SRR5967533	458787	3771	1
SRR5967507	714240	4293	1
SRR5961160	190240	4602	8
SRR5961316	539333	3602	1
SRR5959061	25438	993	0
SRR5964854	8619	1106	0
SRR5961028	110541	4082	8
SRR5967757	300320	3055	1
SRR5960149	588451	7069	10
SRR5960505	54604	3215	3
SRR5959025	47688	3381	5
SRR5958775	2926410	4153	5
SRR5967517	463854	3780	1
SRR5967659	586514	4017	1
SRR5960074	969227	7112	10
SRR5957457	78234	3668	9
SRR5957371	117095	5067	9
SRR5967486	889573	3097	1
SRR5958861	38853	3217	5
SRR5958783	55157	4824	5
SRR5960625	51861	2159	3
SRR5961376	994021	5132	1
SRR5968184	1618443	2642	7
SRR5960338	152818	3813	3
SRR5960783	618738	5905	3
SRR5959148	61003	1202	0
SRR5958705	53550	3512	5
SRR5960595	334430	5109	3
SRR5959250	2654	413	0
SRR5965102	12328	1289	0
SRR5964696	13344	1329	0
SRR5958708	169423	4927	5
SRR5964982	3606	619	0
SRR5961362	380976	3004	1
SRR5960473	831338	6275	3
SRR5967497	640688	2390	1
SRR5960388	282242	5680	3
SRR5959405	49443	1189	0
SRR5960582	1140937	6624	3
SRR5960167	43693	3500	4
SRR5968026	26375	1485	7
SRR5959814	1206791	5713	4
SRR5961350	856546	4980	1
SRR5958951	120787	4002	5
SRR5957582	36075	3570	9
SRR5967924	780390	5173	1
SRR5961141	276546	4930	8
SRR5960294	374361	4931	3
SRR5964828	5526	935	0
SRR5960092	187306	4794	4
SRR5959978	231150	4907	4
SRR5960432	213853	5189	3
SRR5959178	2250	298	0
SRR5958876	307393	4508	5
SRR5957560	150246	5871	9
SRR5964671	15071	1370	0
SRR5967915	531128	2761	1
SRR5957339	761094	4713	9
SRR5960920	529994	6024	8
SRR5960324	110388	4085	3
SRR5964729	4667	668	0
SRR5958945	3958	1458	5
SRR5960066	909100	6601	10
SRR5960662	1632114	5346	3
SRR5957422	61268	3100	9
SRR5959260	8491	586	0
SRR5959722	145059	4373	4
SRR5960115	160555	4088	4
SRR5960014	190722	4688	10
SRR5968012	31435	1056	7
SRR5958773	1761936	4748	5
SRR5961087	292092	5254	8
SRR5968169	74356	1422	7
SRR5958716	4536	1470	5
SRR5960543	510312	5410	3
SRR5958833	1716666	4907	5
SRR5958872	1318	611	5
SRR5959360	4069	535	0
SRR5959953	162819	3767	4
SRR5960096	199227	4612	4
SRR5960430	257609	5576	3
SRR5960344	133439	3842	3
SRR5958669	437357	4727	5
SRR5960577	378444	5682	3
SRR5967520	947349	2919	1
SRR5959276	17252	748	0
SRR5959165	3503	425	0
SRR5960486	158555	6090	3
SRR5960965	232696	5956	8
SRR5967580	739108	2640	1
SRR5960162	361473	4121	4
SRR5961393	456118	3595	1
SRR5960163	245049	3772	4
SRR5961000	464348	5527	8
SRR5967871	942490	2817	1
SRR5959813	130731	3728	4
SRR5965044	13129	1293	0
SRR5958746	11377	2532	5
SRR5960450	124764	2210	7
SRR5964958	9254	1057	0
SRR5960355	379345	6181	3
SRR5957579	244213	3071	9
SRR5960343	38037	2772	3
SRR5959110	47739	824	0
SRR5959986	631872	4302	4
SRR5959926	204522	5175	10
SRR5960559	158326	4561	3
SRR5964992	6385	937	0
SRR5960180	146326	4598	10
SRR5960046	105379	4458	4
SRR5964751	6996	769	0
SRR5961318	1203619	5403	1
SRR5959073	5596	431	0
SRR5968008	59396	1707	7
SRR5958926	17575	2270	5
SRR5960177	180500	4004	4
SRR5961066	143471	4309	8
SRR5957349	61817	5212	9
SRR5960551	30986	2413	3
SRR5959738	925899	8164	10
SRR5959868	628704	6030	10
SRR5960769	301439	4934	3
SRR5957370	47178	4067	9
SRR5967488	760257	5307	1
SRR5964999	6413	866	0
SRR5959954	185527	4625	4
SRR5957573	362896	4906	9
SRR5959083	37235	1096	0
SRR5960301	20347	1293	7
SRR5961330	392331	2732	1
SRR5964862	1619	422	0
SRR5960656	216773	4848	3
SRR5959912	406624	4864	4
SRR5960955	118640	3177	8
SRR5959162	1744	279	0
SRR5964705	15594	1096	0
SRR5960939	1064210	7142	8
SRR5959959	178011	5227	4
SRR5959054	29345	928	0
SRR5959144	7040	604	0
SRR5959022	22237	2644	5
SRR5958944	525881	5323	5
SRR5958714	4682	1537	5
SRR5958900	342505	5165	5
SRR5959965	117429	3191	4
SRR5961128	437283	5566	8
SRR5960589	309766	5373	3
SRR5961383	491440	3345	1
SRR5964964	1199	375	0
SRR5961381	486008	3021	1
SRR5959416	4681	473	0
SRR5958962	815799	6135	5
SRR5960336	23030	2765	3
SRR5960725	2148034	6566	3
SRR5961026	93316	3832	8
SRR5960339	148776	6001	3
SRR5958761	80543	4197	5
SRR5961441	522539	3709	1
SRR5964796	12009	1209	0
SRR5958815	1512	621	5
SRR5960148	165446	4529	10
SRR5958923	1517667	5124	5
SRR5958723	63623	3811	5
SRR5961320	450222	3655	1
SRR5968143	53122	2037	7
SRR5957484	166838	3724	9
SRR5967988	49691	1749	7
SRR5967989	288104	2694	7
SRR5960460	1108917	7361	3
SRR5958931	95334	4696	5
SRR5957400	298993	3333	9
SRR5959038	37699	1007	0
SRR5961387	967874	5286	1
SRR5960567	69173	4064	3
SRR5957595	204491	4789	9
SRR5968193	155848	1528	7
SRR5961414	475388	3722	1
SRR5958952	531254	5078	5
SRR5961203	134406	4607	11
SRR5958721	617677	5376	5
SRR5967634	616488	2698	1
SRR5961275	3499306	5340	8
SRR5958990	9355	2216	5
SRR5957574	169651	5627	9
SRR5961181	533596	7189	11
SRR5958895	168645	3639	5
SRR5959382	94383	1533	0
SRR5960168	86702	4587	4
SRR5967592	885735	2790	1
SRR5960049	314604	4331	4
SRR5960646	6223	1417	3
SRR5968118	1739269	3784	7
SRR5957471	48285	4580	9
SRR5960565	1902	687	3
SRR5958758	9625	1778	5
SRR5958890	104089	4005	5
SRR5958984	1213716	6327	5
SRR5967718	532236	2500	1
SRR5960840	864059	8859	11
SRR5961432	1760977	6548	1
SRR5959209	3014	398	0
SRR5958811	16706	3041	5
SRR5964772	1309	477	0
SRR5960025	1436518	8385	10
SRR5960176	59378	3650	4
SRR5959797	544397	5511	10
SRR5968073	36353	1107	7
SRR5959222	23474	902	0
SRR5960307	508383	6674	3
SRR5957479	37965	3728	9
SRR5961410	672141	3923	1
SRR5960470	172399	5024	3
SRR5960721	105449	4275	3
SRR5958911	486118	5416	5
SRR5960118	705835	6502	10
SRR5961214	426117	5224	8
SRR5959380	1608	272	0
SRR5959086	69046	1409	0
SRR5957446	15406	2863	9
SRR5957426	222360	3353	9
SRR5958849	59295	3590	5
SRR5960464	3340723	5766	3
SRR5961480	451463	3638	1
SRR5961185	245652	5893	8
SRR5957415	73484	5670	9
SRR5959120	16036	700	0
SRR5958851	223546	3645	5
SRR5968105	329295	2718	7
SRR5961277	770435	8149	11
SRR5958690	102692	4611	5
SRR5957555	64035	4099	9
SRR5960063	299970	5430	10
SRR5959060	21625	783	0
SRR5958672	8588	2339	5
SRR5959766	301243	4348	10
SRR5960056	133561	4309	4
SRR5960295	215984	5084	3
SRR5959099	946	257	0
SRR5959295	18593	915	0
SRR5967575	695739	2982	1
SRR5959977	144260	3688	4
SRR5958825	398939	5416	11
SRR5960516	463024	6962	3
SRR5960641	321662	5653	3
SRR5959848	234041	5092	10
SRR5964937	1311	421	0
SRR5959188	17423	731	0
SRR5961408	632680	4081	1
SRR5968044	318934	2512	7
SRR5960085	124930	4558	4
SRR5958889	252834	3436	5
SRR5961111	330864	5893	11
SRR5957564	569520	4952	9
SRR5967949	903790	2917	1
SRR5958760	37973	3049	5
SRR5967814	676861	2619	1
SRR5959002	9850	2025	5
SRR5959183	35175	1021	0
SRR5959983	240769	4186	4
SRR5958654	192900	3726	5
SRR5957498	14560	2765	9
SRR5958843	24995	3012	5
SRR5960514	271628	6018	3
SRR5959237	8666	674	0
SRR5958978	61694	3785	5
SRR5959285	13619	595	0
SRR5960381	262236	5175	3
SRR5957405	23277	3083	9
SRR5957472	21789	3095	9
SRR5959053	7278	568	0
SRR5960369	19114	2487	3
SRR5958956	1013625	6021	5
SRR5958801	24389	2686	5
SRR5967963	425592	3407	1
SRR5960166	21797	1460	4
SRR5958685	715022	4741	5
SRR5959824	309285	4276	4
SRR5959345	7761	529	0
SRR5960712	759496	7076	3
SRR5965017	6230	984	0
SRR5964784	7217	917	0
SRR5959359	3826	455	0
SRR5958905	29585	2580	5
SRR5967668	639156	2544	1
SRR5959940	257765	4112	10
SRR5961451	1330944	5685	1
SRR5957408	90725	5378	9
SRR5961020	96490	3356	8
SRR5967815	681477	2929	1
SRR5960018	432808	7630	10
SRR5958996	3150	1049	5
SRR5964909	6798	902	0
SRR5958832	111944	4697	5
SRR5960300	25053	2092	7
SRR5960200	142462	4144	4
SRR5960633	176298	4770	3
SRR5961210	171212	4600	8
SRR5961474	579137	3641	1
SRR5960104	570783	6371	10
SRR5960997	210655	6144	11
SRR5959830	233933	4799	4
SRR5959217	23492	876	0
SRR5958764	26580	2787	5
SRR5964926	2687	519	0
SRR5964929	9887	992	0
SRR5959266	7385	685	0
SRR5960135	216191	5109	10
SRR5959950	133221	2997	4
SRR5964666	8691	1043	0
SRR5958847	221008	5478	5
SRR5958927	171073	3335	5
SRR5959263	3495	409	0
SRR5960741	182619	4946	3
SRR5959756	74254	2521	10
SRR5958840	38602	3677	5
SRR5961314	503805	3163	1
SRR5959409	60147	1131	0
SRR5961457	605979	3494	1
SRR5958812	31731	3409	5
SRR5967736	336788	3004	1
SRR5957346	82199	5956	9
SRR5967666	876311	2897	1
SRR5959969	91083	2659	4
SRR5959829	148391	3827	4
SRR5964687	8626	932	0
SRR5964866	508	217	0
SRR5960185	1531571	8098	10
SRR5968051	280183	2085	7
SRR5958974	111105	5331	5
SRR5968087	60067	2552	7
SRR5960174	317787	3163	10
SRR5960729	671071	6732	3
SRR5959791	246889	4533	4
SRR5960100	85918	6531	4
SRR5958988	643879	5588	5
SRR5958686	230466	4388	5
SRR5960668	76725	4289	3
SRR5968140	601567	4831	7
SRR5959424	4414	568	0
SRR5964951	30239	1956	0
SRR5960479	217523	4660	3
SRR5960378	205737	5829	3
SRR5960518	1802749	5941	3
SRR5961386	487083	3240	1
SRR5960550	213838	4501	3
SRR5958873	36100	3168	5
SRR5960152	324985	5370	10
SRR5967710	487640	3947	1
SRR5960108	265754	3872	4
SRR5968046	163850	2918	7
SRR5960507	1459243	6793	3
SRR5959411	53224	1318	0
SRR5957431	26361	3241	9
SRR5968159	76590	2233	7
SRR5958915	14363	2213	5
SRR5958679	9003	2495	5
SRR5960598	938893	5604	3
SRR5959087	7506	520	0
SRR5960017	313755	5290	10
SRR5960124	2743367	10142	10
SRR5958958	204675	4623	5
SRR5967935	572635	3657	1
SRR5961394	505948	3185	1
SRR5968192	55759	2284	7
SRR5967573	587426	4031	1
SRR5959176	6894	515	0
SRR5960484	119759	5039	3
SRR5968028	177970	3452	7
SRR5959796	572245	6296	10
SRR5959377	20541	793	0
SRR5960172	64918	3270	4
SRR5960027	997983	6902	10
SRR5965099	5750	857	0
SRR5958657	3188	839	5
SRR5957522	140712	5375	9
SRR5958755	4592	1537	5
SRR5959379	24399	875	0
SRR5958937	26068	2785	5
SRR5967721	717733	3055	1
SRR5959023	29086	3354	5
SRR5957563	129053	5811	9
SRR5960608	289997	5645	3
SRR5960357	949395	5643	3
SRR5960911	323822	5943	11
SRR5957386	76033	5328	9
SRR5959747	257132	4313	4
SRR5960292	5493	1252	3
SRR5957389	25870	3548	9
SRR5967623	463315	3739	1
SRR5957512	87198	3154	9
SRR5964843	4647	640	0
SRR5959313	35387	892	0
SRR5961208	261585	6590	11
SRR5959052	40267	1102	0
SRR5967812	719876	2979	1
SRR5968042	211908	2271	7
SRR5959363	6436	497	0
SRR5960359	450784	5985	3
SRR5959920	1755014	8879	10
SRR5960696	229321	4803	3
SRR5960818	90692	3419	8
SRR5965022	2532	540	0
SRR5960404	423122	6410	3
SRR5959331	63145	1610	0
SRR5964695	12992	1063	0
SRR5959384	74209	1097	0
SRR5967702	438446	3359	1
SRR5968197	153484	2838	7
SRR5960417	1496527	5662	3
SRR5959282	10188	657	0
SRR5957419	43586	3832	9
SRR5960037	232181	4442	4
SRR5965036	12907	1287	0
SRR5957559	117840	5604	9
SRR5958922	12580	2009	5
SRR5960862	356449	4505	8
SRR5959997	338372	4949	10
SRR5959984	471029	4488	4
SRR5958839	87356	3643	5
SRR5964823	596	246	0
SRR5960082	151311	5028	4
SRR5964673	8351	878	0
SRR5961471	464754	3160	1
SRR5967953	534148	4098	1
SRR5961258	436267	5375	11
SRR5958881	50610	3988	5
SRR5957438	196519	3672	9
SRR5967724	646390	3020	1
SRR5957430	79634	4713	9
SRR5958749	2421	1045	5
SRR5958901	410162	4811	5
SRR5959337	1882	313	2
SRR5959744	294684	4514	4
SRR5960310	370225	5844	3
SRR5967548	704329	2664	1
SRR5967869	741218	2954	1
SRR5959157	12956	658	0
SRR5957462	130554	2527	9
SRR5959047	37250	1029	0
SRR5960060	549231	5957	10
SRR5959198	8085	561	0
SRR5967536	422445	3412	1
SRR5961221	249624	5711	8
SRR5967845	1149945	4092	1
SRR5961366	484278	3629	1
SRR5961219	375947	5817	8
SRR5964847	3008	788	0
SRR5968166	195250	2447	7
SRR5959853	357456	4066	10
SRR5961368	942487	4542	1
SRR5957445	287062	4121	9
SRR5964834	2048	511	0
SRR5960586	370725	4168	3
SRR5960780	167810	5494	3
SRR5960361	2881050	4672	3
SRR5960442	69657	4722	3
SRR5960312	1809683	6147	3
SRR5960644	37517	3504	3
SRR5959146	25177	831	0
SRR5964930	1229	405	0
SRR5960385	52662	3441	3
SRR5960686	337458	5752	3
