Cell	nCount_RNA	nFeature_RNA	Cluster
SRR5960894	109905	4514	11
SRR5959408	4868	487	0
SRR5957387	27951	2918	9
SRR5960708	37147	2983	3
SRR5967695	959142	3415	1
SRR5959767	1017296	6655	10
SRR5960095	228752	4537	4
SRR5960197	442838	5200	10
SRR5960638	373437	5924	3
SRR5959130	13912	651	0
SRR5960319	6530	1246	3
SRR5958658	1599359	5379	5
SRR5960636	170085	5084	3
SRR5958995	10525	2328	5
SRR5967934	878367	4526	1
SRR5964898	2003	514	0
SRR5959160	1534	319	0
SRR5967769	435585	2255	1
SRR5964936	994	352	0
SRR5958790	81936	4105	5
SRR5967880	503647	3584	1
SRR5960809	241635	5300	8
SRR5959787	340111	5182	4
SRR5959021	5578	1615	5
SRR5959248	13437	659	0
SRR5960606	147377	4377	3
SRR5960144	102046	2624	4
SRR5965089	15391	1434	0
SRR5961364	391557	2836	1
SRR5961397	473388	3461	1
SRR5961365	948013	4883	1
SRR5959723	91840	4830	4
SRR5961147	657194	5630	8
SRR5960192	885461	6395	10
SRR5968151	20900	1586	7
SRR5959347	16337	771	0
SRR5959361	2337	305	0
SRR5958789	29625	3302	5
SRR5968057	17695	1067	7
SRR5960485	1180732	6718	3
SRR5960671	722687	6653	3
SRR5960403	1028164	4960	3
SRR5960590	1211804	6515	3
SRR5959996	1063657	8142	10
SRR5964978	12473	1201	0
SRR5960215	318596	5203	4
SRR5957333	103473	5338	9
SRR5964786	5008	697	0
SRR5959338	10798	598	0
SRR5959725	181898	3261	4
SRR5959354	19093	689	0
SRR5960086	193446	4448	4
SRR5960451	206264	3601	7
SRR5960089	202910	3853	4
SRR5957379	22774	2841	9
SRR5960502	3620	931	3
SRR5959934	365907	5911	4
SRR5967828	406674	3085	1
SRR5960529	2756575	6666	3
SRR5959013	1907755	3788	5
SRR5958661	303215	4336	5
SRR5967657	626179	3986	1
SRR5964684	6685	925	0
SRR5958928	179065	3430	5
SRR5967992	253123	2197	7
SRR5957525	33714	3250	9
SRR5957519	161387	5181	9
SRR5960537	162299	5564	3
SRR5959751	254078	5311	4
SRR5958857	16768	2269	5
SRR5959881	433214	4631	10
SRR5961433	589924	4517	1
SRR5957476	303820	4467	9
SRR5959877	2046825	8104	10
SRR5958826	1727538	4375	5
SRR5959092	8620	680	0
SRR5959349	6962	501	0
SRR5959244	13069	761	0
SRR5958719	25329	3750	5
SRR5959189	17278	802	0
SRR5960299	9543	1435	7
SRR5959937	490301	7035	10
SRR5960346	757877	6766	3
SRR5961435	446006	3223	1
SRR5967840	1148529	3209	1
SRR5959388	26129	905	0
SRR5959191	84643	1282	0
SRR5961341	679056	4364	1
SRR5960495	231264	5191	3
SRR5958835	1064320	4714	5
SRR5959268	67342	1367	0
SRR5958862	54653	3186	5
SRR5960151	2169837	8623	10
SRR5957332	172600	5664	9
SRR5960541	170724	3345	3
SRR5964655	10950	1017	0
SRR5959081	3877	701	0
SRR5961155	145316	4333	8
SRR5957466	45463	3440	9
SRR5959886	975688	8879	10
SRR5960376	313919	6072	3
SRR5959836	610099	6509	10
SRR5968161	88693	1591	7
SRR5960834	68059	3293	8
SRR5964821	6234	871	0
SRR5967884	467511	3953	1
SRR5968018	310871	2827	7
SRR5961174	155435	4805	11
SRR5961133	213941	7917	11
SRR5960549	30636	2129	3
SRR5961476	497215	2981	1
SRR5957571	64767	5145	9
SRR5968037	24781	1681	7
SRR5960626	224504	3963	3
SRR5960545	56893	3247	3
SRR5959095	11687	718	0
SRR5964928	5721	851	0
SRR5968204	290230	2523	7
SRR5960594	254979	5775	3
SRR5959823	130398	3877	4
SRR5964777	1951	478	0
SRR5967835	721244	2854	1
SRR5957469	108989	5494	9
SRR5957529	50417	4031	9
SRR5960001	2123036	8182	10
SRR5958778	14169	2035	5
SRR5961146	185812	4111	8
SRR5960704	400834	6300	3
SRR5959211	2404	364	0
SRR5959395	10603	812	0
SRR5961288	420849	5694	8
SRR5961205	132636	4922	11
SRR5957514	176149	6062	9
SRR5961242	175401	5119	11
SRR5960040	112058	4346	4
SRR5957480	141423	3395	9
