Cell	nCount_RNA	nFeature_RNA	Cluster
TM_RHC5567__Epithelial__.2749FE	999750.01225426	5028	1
TM_RHC5568__Epithelial__.2749FE	597614.004365436	2083	0
TM_RHC5569__Epithelial__.2749FE	1190905.57281108	6583	1
TM_RHC5571__Tcell__.C6E879	1142984.9988728	3008	2
TM_RHC5574__Epithelial__.2749FE	155556.999482481	3007	0
TM_RHC5575__Epithelial__.2749FE	999546.001458594	6494	1
TM_RHC5576__Tcell__.C6E879	303850.002074051	2189	2
TM_RHC5577__Epithelial__.2749FE	1744133.66884945	6982	1
TM_RHC5578__Epithelial__.2749FE	866723.998016663	4462	0
TM_RHC5580__Epithelial__.2749FE	115371.000319854	1787	0
TM_RHC5582__Epithelial__.2749FE	391136.001629246	3416	1
TM_RHC5585__Epithelial__.2749FE	1082438.006829	1430	0
TM_RHC5586__Epithelial__.2749FE	451861.761729578	5843	1
TM_RHC5592__Epithelial__.2749FE	2166216.61927194	3622	1
TM_RHC5594__Epithelial__.2749FE	2482347.56741596	7912	1
TM_RHC5597__Epithelial__.2749FE	251074.002148033	2926	1
TM_RHC5598__Epithelial__.2749FE	1175363.00492888	7330	1
TM_RHC5599__Epithelial__.2749FE	239191.998524904	2374	0
TM_RHC5601__Epithelial__.2749FE	889976.980212574	3207	0
TM_RHC5604__Epithelial__.2749FE	928201.007541601	8802	1
TM_RHC5606__Epithelial__.2749FE	173597.000539345	4095	0
TM_RHC5607__Epithelial__.2749FE	192751.000548984	1075	0
TM_RHC5608__Epithelial__.2749FE	490404.93935677	8164	1
TM_RHC5610__Epithelial__.2749FE	702700.993362306	5715	1
TM_RHC5611__Epithelial__.2749FE	523048.783498344	6589	1
TM_RHC5612__Epithelial__.2749FE	896994.805680305	8197	1
TM_RHC5613__Epithelial__.2749FE	989276.059596722	7607	1
TM_RHC5614__Tcell__.C6E879	1442953.70107518	3114	2
TM_RHC5615__Epithelial__.2749FE	1542781.52854782	7549	1
TM_RHC5616__Epithelial__.2749FE	575966.288225625	1773	0
TM_RHC5620__Tcell__.C6E879	1507170.16980585	2832	2
TM_RHC5623__Epithelial__.2749FE	333972.751000693	3960	1
TM_RHC5624__Epithelial__.2749FE	566031.291175684	6586	1
TM_RHC5626__Epithelial__.2749FE	1260135.82416758	9510	1
TM_RHC5627__Epithelial__.2749FE	1490900.92923998	7302	1
TM_RHC5628__Epithelial__.2749FE	515908.834013476	2772	0
TM_RHC5629__Epithelial__.2749FE	411982.998178365	3456	1
TM_RHC5632__Epithelial__.2749FE	1190738.01802566	4605	1
TM_RHC5633__Epithelial__.2749FE	1808030.99058527	1694	0
TM_RHC5637__Epithelial__.2749FE	1299413.99822879	5127	1
TM_RHC5643__Epithelial__.2749FE	1030502.00867601	4636	1
TM_RHC5646__Tcell__.C6E879	1021805.62805453	2611	2
TM_RHC5647__Epithelial__.2749FE	1790417.9408491	3270	0
TM_RHC5658__Epithelial__.2749FE	1100949.00489518	1191	0
TM_RHC5666__Bcell__.7DEA7B	631215.341291568	2164	0
TM_RHC5698__Epithelial__.2749FE	708674.002693545	1968	0
TM_RHC5699__Tcell__.C6E879	1887489.3058203	2203	2
TM_RHC5701__Epithelial__.2749FE	715695.007654757	2166	0
TM_RHC5702__Tcell__.C6E879	2349265.01462438	3338	2
TM_RHC5707__Epithelial__.2749FE	634209.999518298	3147	0
TM_RHC5710__Epithelial__.2749FE	805495.99954531	1721	0
TM_RHC5711__Bcell__.7DEA7B	1522840.99767772	4096	0
TM_RHC5718__Tcell__.C6E879	1344563.00361461	1823	0
TM_RHC5761__NA__grey	235236.998197472	1436	0
TM_RHC5764__Epithelial__.2749FE	117504.993568395	1137	0
TM_RHC5765__Epithelial__.2749FE	338599.999760571	2817	0
TM_RHC5768__Epithelial__.2749FE	3508215.98408832	5488	1
TM_RHC5783__Epithelial__.2749FE	690720.99949513	1489	0
TM_RHC5785__NA__grey	1029737.99622805	1729	0
TM_RHC5790__Epithelial__.2749FE	1902547.99807376	2048	0
TM_RHC5801__Tcell__.C6E879	161909.997154035	1314	0
TM_RHC5808__Epithelial__.2749FE	320361.002356809	2102	0
TM_RHC5810__Tcell__.C6E879	913363.993629257	2255	0
TM_RHC5811__Macrophage__.FFFF55	2651035.9794993	3341	3
TM_RHC5814__Tcell__.C6E879	964812.956435094	2443	0
TM_RHC5815__Epithelial__.2749FE	2357707.00492622	4919	1
TM_RHC5816__Epithelial__.2749FE	638342.003406657	2279	0
TM_RHC5827__Tcell__.C6E879	2192563.98145139	2558	2
TM_RHC5831__Epithelial__.2749FE	561777.959543506	2569	0
TM_RHC5834__Macrophage__.FFFF55	263820.004605451	2003	0
TM_RHC5840__Epithelial__.2749FE	859902.0185286	1659	0
TM_RHC5844__NA__grey	313648.003324714	1876	0
TM_RHC5879__Epithelial__.2749FE	302105.000982377	1387	0
TM_RHC5892__Endothelial__.908DE5	1010654.99951734	5012	1
TM_RHC5896__Epithelial__.2749FE	1744094.54800922	4025	0
TM_RHC5899__Fibroblast__.FB4E09	234136.996182042	1426	0
TM_RHC5908__Epithelial__.2749FE	225482.999405506	1347	0
TM_RHC5910__Tcell__.C6E879	817058.007589747	2141	2
TM_RHC5914__NA__grey	256649.007090869	1258	0
TM_RHC5918__NA__grey	119175.000112042	1214	0
TM_RHC5930__Tcell__.C6E879	159672.294370674	1267	0
TM_RHC5967__Tcell__.C6E879	699424.682359301	1937	2
TM_RHC5982__Tcell__.C6E879	999492.006566859	2484	2
TM_RHC5991__Fibroblast__.FB4E09	231178.008433502	1252	0
TM_RHC5995__Tcell__.C6E879	1040981.00747492	2488	2
TM_RHC5999__Macrophage__.FFFF55	643520.002252059	1475	3
TM_RHC6004__Tcell__.C6E879	1127519.99693902	3716	2
TM_RHC6010__Tcell__.C6E879	1130435.99801221	1444	2
TM_RHC6022__Tcell__.C6E879	132109.999576362	2394	0
TM_RHC6030__Fibroblast__.FB4E09	202076.000611972	1847	5
TM_RHC6033__Macrophage__.FFFF55	940206.010466809	1765	3
TM_RHC6039__Tcell__.C6E879	386264.884036537	2241	2
TM_RHC6041__Macrophage__.FFFF55	233308.013068634	1381	0
