Cell	nCount_RNA	nFeature_RNA	Cluster
NM_RHC5672__Macrophage__.FFFF55	1681328.64729695	4637	3
NM_RHC5673__Epithelial__.2749FE	373283.005496803	2787	0
NM_RHC5675__Epithelial__.2749FE	1510913.00461336	4162	0
NM_RHC5680__Tcell__.C6E879	1675431.04979408	3888	2
NM_RHC5681__Epithelial__.2749FE	166068.689423262	3192	0
NM_RHC5682__Epithelial__.2749FE	854017.022089364	4150	0
NM_RHC5685__Epithelial__.2749FE	759445.994388506	2957	0
NM_RHC5688__Epithelial__.2749FE	367461.978328779	4148	0
NM_RHC5689__Bcell__.7DEA7B	347311.99981035	3585	0
NM_RHC5690__Bcell__.7DEA7B	996087.999992081	4324	0
NM_RHC5691__Epithelial__.2749FE	1462306.64596044	4750	0
NM_RHC5692__Epithelial__.2749FE	819137.998814177	3546	3
NM_RHC5694__Epithelial__.2749FE	578018.004629192	4228	0
NM_RHC5697__Epithelial__.2749FE	664031.819533456	3900	0
NM_RHC5703__Epithelial__.2749FE	186419.000031409	3121	0
NM_RHC5708__Epithelial__.2749FE	864361.00237168	3182	0
NM_RHC5713__Epithelial__.2749FE	1140507.00899059	4042	0
NM_RHC5717__Epithelial__.2749FE	297257.000553555	2146	0
NM_RHC5719__Epithelial__.2749FE	1001790.01744328	3477	0
NM_RHC5721__Bcell__.7DEA7B	1325985.6073356	3719	0
NM_RHC5723__Epithelial__.2749FE	1183425.98660686	2343	0
NM_RHC5724__Epithelial__.2749FE	2255005.51094645	4248	0
NM_RHC5725__Epithelial__.2749FE	765681.384126235	4811	0
NM_RHC5726__Tcell__.C6E879	1376377.99826463	3273	2
NM_RHC5727__Epithelial__.2749FE	2203213.4354519	5050	1
NM_RHC5857__Bcell__.7DEA7B	456913.888991858	2911	0
NM_RHC5859__Epithelial__.2749FE	361327.999353941	4268	0
NM_RHC5861__Bcell__.7DEA7B	669612.996784973	2865	4
NM_RHC5863__Epithelial__.2749FE	1414926.99646123	4467	1
NM_RHC5864__Epithelial__.2749FE	943119.020286607	4424	1
NM_RHC5866__Epithelial__.2749FE	545339.997536719	2466	0
NM_RHC5870__Epithelial__.2749FE	1106449.62759404	3624	0
NM_RHC5874__Epithelial__.2749FE	704248.998707357	3337	1
NM_RHC5875__Epithelial__.2749FE	975895.285690887	5415	1
NM_RHC5876__Epithelial__.2749FE	416668.000734071	2468	0
NM_RHC5878__Epithelial__.2749FE	862089.881994109	4059	1
NM_RHC5881__Epithelial__.2749FE	544218.002373239	3721	1
NM_RHC5885__Epithelial__.2749FE	898638.011558378	2745	0
NM_RHC5886__Epithelial__.2749FE	1249984.87270032	3574	0
NM_RHC5887__Epithelial__.2749FE	951388.066548559	4061	0
NM_RHC5888__Epithelial__.2749FE	996639.376933542	3404	1
NM_RHC5889__Epithelial__.2749FE	1644500.37586475	4986	1
NM_RHC5890__Epithelial__.2749FE	1655775.9191669	5558	1
NM_RHC5891__Epithelial__.2749FE	1734538.97238842	5587	1
NM_RHC5893__Epithelial__.2749FE	1619386.02727081	3443	1
NM_RHC5894__Tcell__.C6E879	763627.509576892	4639	2
NM_RHC5895__Epithelial__.2749FE	568786.977150784	4111	0
NM_RHC5898__Epithelial__.2749FE	1643552.6145392	5352	1
NM_RHC5900__Tcell__.C6E879	1231532.98900255	3496	2
NM_RHC5901__Epithelial__.2749FE	960830.003850384	3389	0
NM_RHC5902__Tcell__.C6E879	625649.174439134	2199	2
NM_RHC5903__Bcell__.7DEA7B	992577.002057926	2453	0
NM_RHC5904__Epithelial__.2749FE	525925.006857323	2687	0
NM_RHC5905__Tcell__.C6E879	672031.98927052	3259	5
NM_RHC5907__Epithelial__.2749FE	1650772.15993894	6137	1
NM_RHC5909__Epithelial__.2749FE	1973987.96662897	3824	0
NM_RHC5912__Epithelial__.2749FE	1330161.55719766	3173	0
NM_RHC5913__Epithelial__.2749FE	1101181.01062747	3773	1
NM_RHC5915__Epithelial__.2749FE	2340013.06898088	4080	0
NM_RHC5920__Epithelial__.2749FE	1375419.97607247	3782	0
NM_RHC5922__Endothelial__.908DE5	1097256.55574624	5022	1
NM_RHC5923__Epithelial__.2749FE	1131433.98850454	3741	0
