Cell	nCount_RNA	nFeature_RNA	Cluster
SRR7666676	2092	687	2
SRR7666398	2561	526	1
SRR7666524	840840	3119	4
SRR7667288	421968	1126	1
SRR7666842	406379	2328	3
SRR7666869	386965	3169	0
SRR7667516	1507277	8523	2
SRR7666881	456760	3840	0
SRR7666466	513830	1856	7
SRR7667455	1235835	8031	2
SRR7667216	1157366	7449	10
SRR7666838	1096899	3240	3
SRR7667297	545430	1478	1
SRR7667690	819581	620	0
SRR7666928	333116	3332	0
SRR7666815	1547552	6840	6
SRR7666642	1414	229	1
SRR7666565	606295	2920	7
SRR7666910	298002	2978	0
SRR7666416	6037	274	1
SRR7666787	439585	2744	3
SRR7667096	15802	1320	8
SRR7666402	6175	463	1
SRR7667020	1432471	2276	0
SRR7666462	1836088	6013	4
SRR7667339	328282	1145	1
SRR7667540	1392	269	1
SRR7667287	1561515	6379	2
SRR7667142	1167369	3469	6
SRR7667410	74020	552	1
SRR7667234	418801	915	4
SRR7666508	821018	2233	2
SRR7666957	315725	563	0
SRR7667487	885297	3057	5
SRR7666532	1011076	2407	5
SRR7666935	173269	241	1
SRR7667510	1525805	4273	6
SRR7666631	612688	16637	5
SRR7667695	72318	436	1
SRR7666527	851403	4615	4
SRR7666755	5015902	10358	2
SRR7666468	913938	3013	7
SRR7667433	1782420	2503	3
SRR7666371	2065885	3707	9
SRR7666997	244962	649	0
SRR7666904	326057	1692	0
SRR7666607	278113	2899	7
SRR7667222	962436	5209	4
SRR7666362	39148	396	1
SRR7667453	1497161	956	6
SRR7666740	1929280	7533	2
SRR7667172	1600060	2388	11
SRR7667090	945664	2546	8
SRR7666664	1341391	6235	2
SRR7667876	535805	5320	2
SRR7667504	249119	1722	3
SRR7667213	452538	6225	4
SRR7666724	2370999	5838	6
SRR7666395	5990	248	1
SRR7666540	593200	4121	2
SRR7667653	168344	1033	0
SRR7667151	518520	1352	3
SRR7666870	539059	3391	0
SRR7666534	1550115	5320	2
SRR7666446	4042	221	1
SRR7666878	18400	2845	0
SRR7666722	3387536	9999	2
SRR7666396	5529	269	1
SRR7666861	568996	4197	0
SRR7667099	1325006	4325	6
SRR7666470	73434	4067	4
SRR7667133	627380	1789	3
SRR7667340	322790	1496	1
SRR7667302	1563578	4329	2
SRR7667389	566210	3699	2
SRR7667037	119462	364	6
SRR7666551	796420	2871	5
SRR7667494	387446	4801	6
SRR7667201	437390	3675	4
SRR7667373	2048574	5674	5
SRR7666729	3225283	9558	2
SRR7667519	1045694	4807	2
SRR7667022	1608411	3085	0
SRR7666949	359644	655	0
SRR7666712	2876686	10900	2
SRR7667385	1748703	3996	2
SRR7667118	861676	2038	3
SRR7666542	749643	3245	7
SRR7666571	606073	6095	2
SRR7666920	254540	1905	0
SRR7666520	114663	567	5
SRR7667130	714278	1819	3
SRR7667168	1793043	2988	0
SRR7667189	751936	4454	4
SRR7666356	1938578	2983	9
SRR7666707	3474761	10706	2
SRR7666896	528311	3371	0
SRR7667343	221721	1037	1
SRR7666488	1240580	4097	7
SRR7666433	991	262	1
SRR7666374	2484645	3476	6
SRR7666962	380351	982	0
SRR7667095	551407	2553	8
SRR7666506	834936	2789	7
SRR7667193	113970	1710	1
SRR7667526	1428	624	1
SRR7667034	3283425	5052	0
SRR7667321	1864810	2741	0
SRR7667599	21881	260	1
SRR7667393	1196577	2919	1
SRR7666914	482350	3420	0
SRR7667436	323910	3204	2
SRR7666364	1687966	2008	9
SRR7667548	9609	278	1
SRR7667503	901762	3108	3
SRR7666808	807275	1658	1
SRR7666633	562741	5490	2
SRR7667043	924907	1554	5
SRR7666479	501579	1564	7
SRR7666772	2815565	8374	6
SRR7666942	2115733	1189	0
SRR7667112	844717	2305	8
SRR7667208	901718	6168	4
SRR7667255	1017677	3565	5
SRR7667154	577214	1631	3
SRR7667029	817062	1452	0
SRR7667068	304348	687	0
SRR7667505	2562	312	1
SRR7667325	176075	709	1
SRR7666490	776023	3086	7
SRR7667370	1020438	6840	2
SRR7666463	2024945	5195	4
SRR7667224	440384	2348	5
SRR7667103	1110531	1828	6
SRR7666626	395710	2801	8
SRR7667038	1365025	1853	8
SRR7666559	643098	5147	2
SRR7666451	1114	244	1
SRR7666684	761037	3250	2
SRR7666790	1117004	4137	8
SRR7666852	599468	5096	0
SRR7667163	900483	2169	3
SRR7666776	801539	2886	3
SRR7666618	69752	637	1
SRR7667331	219247	713	1
SRR7666899	349120	3006	0
SRR7666629	646531	5688	2
SRR7667061	198134	676	0
SRR7666733	2169757	4156	6
SRR7666648	608810	1828	5
SRR7666897	464638	2840	0
SRR7667477	1495429	3779	6
SRR7666936	5435363	2698	0
SRR7666546	661804	4991	2
SRR7666894	166411	2293	0
SRR7667369	1335308	3988	0
SRR7666354	1686284	2078	9
SRR7667049	858483	1548	0
SRR7666958	688029	814	0
SRR7666893	439227	2456	0
SRR7667515	56252	601	1
SRR7666921	442712	2822	0
SRR7667532	1813120	9000	0
SRR7666601	622143	2875	4
SRR7667070	1572035	2249	0
SRR7667293	1216664	6806	0
SRR7666751	1070919	2657	8
SRR7667188	185410	432	1
SRR7666812	1569235	10024	4
SRR7666736	3057243	10050	2
SRR7666832	419334	717	1
SRR7667145	619818	1919	8
SRR7667104	843724	3074	3
SRR7667474	1619085	5574	0
SRR7667559	14111	263	1
SRR7666679	1388211	3672	11
SRR7667247	956316	3473	4
SRR7666547	815023	5273	4
SRR7667197	182544	1564	4
SRR7667666	1595510	798	0
SRR7666556	681134	3816	7
SRR7667040	509820	950	0
SRR7666458	1465101	5520	2
SRR7666611	870714	4490	2
SRR7666767	3390599	7853	2
SRR7667396	1787702	4145	5
