Cell	nCount_RNA	nFeature_RNA	Cluster
SRR7666472	1104742	3977	7
SRR7666390	22013	265	1
SRR7667298	419231	921	1
SRR7666368	1841301	3771	9
SRR7667319	554469	1736	1
SRR7666990	100501	1556	1
SRR7667395	2395848	3976	2
SRR7666590	721889	3980	5
SRR7666795	499540	2841	3
SRR7666952	3293892	1885	0
SRR7667479	1457342	10762	2
SRR7666903	506723	3278	0
SRR7667502	17069	205	1
SRR7666685	240558	4688	2
SRR7667457	1272420	6790	6
SRR7666907	611064	3348	0
SRR7666826	408834	2811	3
SRR7666502	311785	912	5
SRR7666480	1027844	3197	7
SRR7666360	2021943	2543	6
SRR7667254	449353	3646	4
SRR7666992	139858	711	1
SRR7666738	2387178	8246	2
SRR7667083	904367	2031	3
SRR7667378	108008	1716	1
SRR7667355	534507	901	1
SRR7667693	434	331	0
SRR7667874	946372	1878	6
SRR7666460	728488	1472	11
SRR7667386	601684	2977	4
SRR7666382	1553477	2057	9
SRR7667422	1472326	2637	3
SRR7666569	638369	4034	5
SRR7666975	969809	1177	0
SRR7667046	283681	619	0
SRR7667414	739305	5113	2
SRR7666481	584254	3139	4
SRR7666663	195181	2057	2
SRR7666986	1136020	897	0
SRR7666947	3867198	2793	0
SRR7667220	719	275	1
SRR7666723	2485221	6163	8
SRR7666871	582650	3687	0
SRR7667637	129580	282	1
SRR7666617	721931	5195	4
SRR7667406	1601600	5528	3
SRR7667408	2470716	5464	7
SRR7666922	267914	2178	0
SRR7667662	238022	617	1
SRR7666614	938925	4199	5
SRR7666575	912810	4956	4
SRR7667411	703500	2113	3
SRR7666378	1747757	2606	9
SRR7666598	504218	1848	5
SRR7666846	581460	3536	3
SRR7667012	3088182	5795	0
SRR7666727	2613448	8092	2
SRR7667350	935902	3762	5
SRR7667032	936	512	0
SRR7666474	4660	1644	4
SRR7667310	290019	1862	2
SRR7667033	969897	2209	0
SRR7666908	441181	2575	0
SRR7667139	792253	2500	8
SRR7666635	1172666	5749	2
SRR7667299	194895	779	1
SRR7666530	890125	3800	2
SRR7667015	2563974	4176	0
SRR7667044	1555533	3327	0
SRR7666386	1215094	1379	6
SRR7667376	813439	4390	2
SRR7667423	1153730	3147	3
SRR7667042	2502937	4293	0
SRR7667227	909223	4972	4
SRR7667075	589685	1007	0
SRR7667499	6810	217	1
SRR7667085	893210	1627	6
SRR7667498	44944	259	1
SRR7667024	823032	2023	0
SRR7666475	1039623	2992	7
SRR7666545	492163	4524	2
SRR7667238	753546	3126	7
SRR7667345	402504	929	1
SRR7667301	1768298	3300	1
SRR7666860	629345	4389	0
SRR7667464	1550382	4280	6
SRR7666516	1706659	8042	4
SRR7666558	761159	5757	4
SRR7667178	952124	2975	4
SRR7667131	805285	2133	3
SRR7667501	3046	240	6
SRR7667313	1633974	2868	5
SRR7666757	2090431	4858	5
SRR7666817	643376	3577	7
SRR7666659	18208	213	1
SRR7667445	319512	1569	1
SRR7667087	848216	2122	3
SRR7667214	838871	4102	4
SRR7667512	1263127	3227	6
SRR7666383	525180	746	1
SRR7666971	7222376	4415	0
SRR7666806	397262	2591	3
SRR7666926	713781	2889	0
SRR7666747	1419653	4436	6
SRR7667296	1152232	6511	2
SRR7667657	465179	3196	0
SRR7666739	1035342	5944	2
SRR7667183	621411	4476	4
SRR7666555	967082	7152	4
SRR7667300	599376	2195	11
SRR7666379	2168832	2880	6
SRR7666500	1334078	5152	2
SRR7666778	1196491	4040	8
SRR7667164	787709	2066	3
SRR7666872	463930	4668	0
SRR7667366	1021385	6706	2
SRR7667286	646195	2162	1
SRR7666745	2136938	7659	2
SRR7666657	1379812	4932	2
SRR7666868	281278	2191	0
SRR7666619	442897	3494	7
SRR7666748	1868903	5114	6
SRR7666592	574616	3007	7
SRR7667418	2136497	5075	4
SRR7667663	65432	336	1
SRR7666698	1463637	5585	2
SRR7667324	880222	1191	1
SRR7667511	5366	208	1
SRR7666801	525415	2687	3
SRR7667364	2051813	6798	2
SRR7667412	1088466	4147	10
SRR7666833	680662	3600	8
SRR7666487	1168698	3439	7
SRR7666478	1129732	5859	4
SRR7667009	326786	635	5
SRR7667093	762939	1942	3
SRR7667318	509642	1191	1
SRR7667143	609544	1444	3
SRR7666980	347285	609	0
SRR7667258	896275	7002	4
SRR7666492	71157	1469	7
SRR7667371	334186	1118	1
SRR7666387	1971130	2169	6
SRR7667202	784826	5546	5
SRR7667175	315450	1959	8
